etapa,status,detalhe,cnpj_fundo,competencia_inicial,competencia_final,id_fundo,nome_fundo,qtd_documentos_brutos,qtd_documentos_intervalo,qtd_competencias,documento_id,competencia,versao,data_entrega,status_documento,linhas_escalares,linhas_lista,linhas_wide
validacao_entrada,ok,Entrada validada.,33254370000104,05/2025,04/2026,,,,,,,,,,,,,
resolve_fundo,ok,Contexto público do fundo carregado.,,,,18252,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,,,,,,,,
listar_documentos,ok,Listagem pública de IMEs concluída.,,,,,,85.0,,,,,,,,,,
filtrar_intervalo_competencia,ok,Filtro local por competência aplicado.,,,,,,,22.0,,,,,,,,,
deduplicar_retificacoes,ok,Documentos definitivos por competência selecionados.,,,,,,,,11.0,,,,,,,,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,928281.0,05/2025,1.0,18/06/2025 16:41,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,928281.0,05/2025,,,,383.0,2.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,952047.0,06/2025,3.0,24/07/2025 14:46,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,952047.0,06/2025,,,,382.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,984542.0,07/2025,3.0,05/09/2025 10:40,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,984542.0,07/2025,,,,382.0,0.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,990634.0,08/2025,1.0,15/09/2025 12:25,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,990634.0,08/2025,,,,382.0,0.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1016241.0,09/2025,2.0,16/10/2025 15:55,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1016241.0,09/2025,,,,382.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1036544.0,10/2025,1.0,13/11/2025 16:12,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1036544.0,10/2025,,,,382.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1061608.0,11/2025,1.0,15/12/2025 10:36,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1061608.0,11/2025,,,,382.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1082242.0,12/2025,1.0,14/01/2026 15:54,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1082242.0,12/2025,,,,385.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1147184.0,01/2026,2.0,27/03/2026 19:23,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1147184.0,01/2026,,,,385.0,4.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1167008.0,02/2026,4.0,20/04/2026 20:33,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1167008.0,02/2026,,,,373.0,24.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1167006.0,03/2026,3.0,20/04/2026 20:32,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1167006.0,03/2026,,,,362.0,46.0,
montagem_dataset,ok,CSVs temporários e wide final gerados em disco.,,,,,,,,,,,,,,4180.0,96.0,386.0
