Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
MERCADO CRÉDITO,33.254.370/0001-04,13/08/2021,Cotas Seniores na forma do Suplemento constante no Anexo II da p,Sênior,—,—,"10,0",—,—,211844_assembleia_assembleia_211844_2021-08-13.pdf · ID 211844 · 13/08/2021 16:00
MERCADO CRÉDITO,33.254.370/0001-04,30/08/2023,Cotas Seniores referente à Segunda Série de Cotas Seniores do Fu,Sênior,—,—,—,—,—,519065_assembleia_assembleia_519065_2023-08-30.pdf · ID 519065 · 30/08/2023 09:00
MERCADO CRÉDITO,33.254.370/0001-04,03/09/2024,Cotas Seniores da Segunda Série do Fundo,Sênior,—,—,—,—,—,749010_assembleia_assembleia_749010_2024-09-03.pdf · ID 749010 · 03/09/2024 11:00
MERCADO CRÉDITO,33.254.370/0001-04,30/04/2025,Cotas Seniores,Sênior,—,—,—,—,—,914383_assembleia_assembleia_914383_2025-04-30.pdf · ID 914383 · 30/04/2025 13:00
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,Cotas Seniores,Sênior,—,—,—,—,—,1128337_assembleia_assembleia_1128337_2026-03-03.pdf · ID 1128337 · 03/03/2026 13:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,25/05/2021,Classe/série não identificada,—,—,—,"400,0",—,—,179557_assembleia_assembleia_179557_2021-05-25.pdf · ID 179557 · 25/05/2021 10:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,30/12/2021,Classe/série não identificada,—,—,—,"5,8",—,—,296735_assembleia_assembleia_296735_2021-12-30.pdf · ID 296735 · 30/12/2021 10:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,29/04/2022,Cotas Seniores (conforme definido no Regulamento),Sênior,—,—,"500,0",—,—,297780_assembleia_assembleia_297780_2022-04-29.pdf · ID 297780 · 29/04/2022 10:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,14/10/2022,Classe/série não identificada,—,—,—,"42,3",—,—,366672_assembleia_assembleia_366672_2022-10-14.pdf · ID 366672 · 14/10/2022 17:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,12/09/2023,COTAS SENIORES 110,Sênior,—,—,—,—,—,521557_regulamento_regulamento_521557_2023-09-12.pdf · ID 521557 · 12/09/2023
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,12/09/2023,Cotas Seniores da Primeira,Sênior,—,—,—,—,—,521510_assembleia_assembleia_521510_2023-09-12.pdf · ID 521510 · 12/09/2023 10:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,10/06/2024,COTAS SENIORES 110,Sênior,—,—,—,—,—,678673_regulamento_regulamento_678673_2024-06-10.pdf · ID 678673 · 10/06/2024
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,12/07/2024,cotas seniores na Cota Sênior,Sênior,—,—,—,—,—,699514_assembleia_assembleia_699514_2024-07-12.pdf · ID 699514 · 12/07/2024 10:00
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,13/06/2025,Cotas Subordinadas Mezanino do,Mezanino,—,—,—,—,—,939684_assembleia_assembleia_939684_2025-06-13.pdf · ID 939684 · 13/06/2025 10:00
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,24/05/2021,Cotas Seniores” Seniores a ser realizada no caso da ocorrência d,Sênior,—,—,—,—,—,201188_regulamento_regulamento_201188_2021-05-24.pdf · ID 201188 · 24/05/2021
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,25/08/2021,Cotas Seniores” Seniores a ser realizada no caso da ocorrência d,Sênior,—,—,—,—,—,211642_regulamento_regulamento_211642_2021-08-25.pdf · ID 211642 · 25/08/2021
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,25/11/2021,Cotas Seniores para alterar o campo “Data de Pagamento”,Sênior,—,—,—,—,—,241163_regulamento_regulamento_241163_2021-11-25.pdf · ID 241163 · 25/11/2021
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,07/07/2022,Cotas Seniores,Sênior,—,—,"1.200,0",—,—,327165_assembleia_assembleia_327165_2022-07-07.pdf · ID 327165 · 07/07/2022 17:00
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,26/04/2023,COTAS SENIORES 119,Sênior,—,—,—,—,—,451466_regulamento_regulamento_451466_2023-04-26.pdf · ID 451466 · 26/04/2023
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,09/08/2023,Cotas Seniores do Mercado Crédito II Brasil,Sênior,—,—,—,—,—,504535_assembleia_assembleia_504535_2023-08-09.pdf · ID 504535 · 09/08/2023 09:00
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,13/11/2024,classe subordinada júnior (“Cotas,Subordinada,—,—,"300,0",—,—,809112_assembleia_assembleia_809112_2024-11-13.pdf · ID 809112 · 13/11/2024 10:00
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,06/01/2025,Classe/série não identificada,—,—,—,"400,0",—,—,813561_emissao_emissao_813561_2025-01-06.pdf · ID 813561 · 06/01/2025
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,12/06/2025,Cotas Subordinadas Júnior da Classe Única do Fundo (“Cotas”),Subordinada,—,—,"500,0",—,—,999523_assembleia_assembleia_999523_2025-06-12.pdf · ID 999523 · 12/06/2025
